obs,Site_ID,Division_ID,install_date,badge_date,Prev_review,Prev_open,Prev_post,Goal,Prev_leader,Prev_leader2,Prev_leader3,Prev_compi1,Prev_incent1,Prev_incent2,Prev_incent3,incentive
1,7,2,12/22/10,1/31/11,4/1/11,10/10/12,10/10/12,5/1/13,,1/11/13,13-Jan,,,,4/8/13,4/8/13
2,7,51,9/20/12,11/27/12,9/15/12,13-Jan,13-Feb,5/1/13,,1/11/13, 1/2013,,,,4/8/13,4/8/13
3,17,21,5/12/12,7/31/12,7/31/12, ,12-Jul,12-Oct,12-Oct,12-Oct,12-Oct, ,10/1/12, ,,10/1/12
4,35,23,4/3/12,5/7/12,5/8/12,3/25/13,,,,11/5/12,3/25/13,,,,,1/0/00
5,14,24,3/6/12,4/5/12,3/26/12,7/7/12,9/25/12, ,9/25/12, , , , , ,,1/0/00
6,14,23,3/6/12,4/5/12,11/29/12, , , , , , , , , , ,1/0/00
7,25,22,1/20/12,3/21/12,3/21/12,10/10/12, ,,,7/2/12,,,,,,1/0/00
8,25,21,1/23/12,3/21/12,3/21/12,10/10/12,10/10/12,,,7/2/12,,,,,3/1/13,3/1/13
9,23,22,1/20/12,3/21/12,3/21/12,10/10/12, ,2/25/13,,8/13/12,,,,,,1/0/00
10,23,92,1/20/12,3/21/12,3/21/12,10/10/12, ,2/25/13,,8/13/12,,,,,,1/0/00
11,23,21,1/20/12,3/21/12,3/21/12,10/10/12, ,2/25/13,,8/13/12,,,,,,1/0/00
12,24,21,2/8/12,3/21/12,3/21/12,10/10/12,12-Oct,13-Feb,13-Feb, ,,,2/1/13,,,2/1/13
13,24,22,2/8/12,3/21/12,3/21/12,12-Oct,12-Oct,13-Feb,13-Feb, ,,,2/1/13,,,2/1/13
14,38,24,7/10/12,8/21/12,8/21/12, ,13-Jan,13-Feb,13-Feb,13-May,8/21/12,,,,,1/0/00
15,18,21,1/5/12,2/21/12,2/21/12,,10/10/12,,,1/11/13,1/22/13,,,,2/11/13,2/11/13
16,41,25,7/31/12,10/2/12,10/2/12,12-Oct,12-Oct,13-Feb,13-Feb,5/7/13, ,13-May, , , ,1/0/00
17,31,21,6/7/12,7/13/12,7/6/12,12-Jul,12-Jul,,12-Jul,10/9/12,,12-Oct,,,,1/0/00
18,15,22,8/22/11,9/29/11,9/29/11,10/10/12,12-Oct,,,12-Mar,12-Mar,,,,,1/0/00
19,32,23,6/8/12,7/11/12,7/11/12,11/13/12,11/13/12,12/19/12,11/13/12, , , ,,,,1/0/00
20,22,21,2/22/12,3/22/12,3/22/12,10/8/12,10/8/12,,10/8/12, , , ,,,,1/0/00
21,11,2,12/3/11,2/7/12,2/1/12,12-Apr,12-Oct,12-Sep,,12-Jul,12-Jul,12-Sep,,9/1/12,,9/1/12
22,21,21,1/30/12,3/19/12,3/19/12,9/10/12,9/10/12,9/13/12,9/17/12, , , ,, ,,1/0/00
23,27,22,2/29/12,4/4/12,4/1/12, 4/2012 ,12-Oct, ,, ,, ,,,,1/0/00
24,33,21,3/9/12,5/3/12,5/3/12,,, ,, , , ,, ,,1/0/00
25,34,23,5/31/12,7/12/12,7/12/12,,9/18/12,9/18/12,9/18/12, , , ,  , ,12/1/12,12/1/12
26,20,21,12/28/11,2/15/12,2/15/12,12-Jun,,,,,,,2/20/13,,,2/20/13
27,20,22,12/28/11,2/15/12,2/15/12,12-Jun,8/22/12,,,,,,2/20/13,,,2/20/13
28,20,23,12/28/11,2/15/12,2/15/12,12-Jun,8/22/12,,,,,,2/20/13,,,2/20/13
29,28,21,1/14/12,2/17/12,2/17/12, 11/14/12,8/22/12,,,11/29/12,,,,,,1/0/00
30,40,23,5/9/12,6/27/12,6/27/12,,, ,, ,,,,,,1/0/00
31,2,2,2/1/10,5/5/10,4/1/11,13-Jan,12-May,12-May,12-May,12-May,12-May, ,5/1/12, ,1/1/13,5/1/12
32,2,428,11/8/10,2/1/11,4/1/11,13-Jan,12-May,12-May,12-May,12-May,12-May,NA,5/1/12, ,1/1/13,5/1/12
33,2,3,8/1/10,2/1/11,4/1/11,13-Jan,12-May,12-May,12-May,12-May,12-May,NA,5/1/12, ,1/1/13,5/1/12
34,2,5,2/1/11,4/1/11,4/1/11,13-Jan,12-May,12-May,12-May,12-May,12-May,NA,5/1/12, ,1/1/13,5/1/12
35,2,9,2/4/11,5/24/11,5/24/11,13-Jan,12-May,12-May,12-May,12-May,12-May,NA,5/1/12, ,1/1/13,5/1/12
36,2,6,8/11/11,11/1/11,11/1/11,13-Jan,12-May,12-May,12-May,12-May,12-May,NA,5/1/12, ,1/1/13,5/1/12
37,2,7,3/1/11,11/1/11,11/1/11,13-Jan,12-May,12-May,12-May,12-May,12-May,NA,5/1/12, ,1/1/13,5/1/12
38,2,8,1/1/11,11/1/11,11/1/11,13-Jan,12-May,12-May,12-May,12-May,12-May,NA,5/1/12, ,1/1/13,5/1/12
39,30,21,2/29/12,4/3/12,4/3/12,4/9/12,10/16/2012 , 8/7/2012,8/7/2012 ,4/4/12,12/1/12,,,,,1/0/00
40,36,22,6/19/12,8/6/12,8/6/12,12-Sep,12-Oct, ,, , ,,,,,1/0/00
41,16,21,10/25/11,12/5/11,12/5/11,,10/29/12,10/29/12,10/29/12, , ,NA, , ,,1/0/00
42,8,2,1/5/11,3/1/11,4/1/11,, ,11-Nov,11-Nov, , , 10/15/2012 ,12/1/12,11/1/11,12/1/11,11/1/11
43,8,75,3/8/12,4/12/12,4/12/12,,8/15/12,8/15/12,8/15/12, , ,1/28/13,,,,1/0/00
44,37,24,4/24/12,6/18/12,6/18/12,,12-Oct,12-Sep,12-Sep,12-Sep,12-Sep,,,,,1/0/00
45,37,23,4/24/12,6/18/12,6/18/12,,12-Nov,12-Nov,12-Nov,12-Sep,12-Sep,,,,,1/0/00
46,6,2,12/22/10,3/22/11,4/1/11,,,,,,,,,,,1/0/00
47,5,2,9/8/10,11/1/10,4/1/11,11-May,,,,,,,,,,1/0/00
48,4,2,9/8/10,11/1/10,4/1/11,11-May,,,,,,,,,,1/0/00
49,19,21,12/21/11,2/16/12,2/16/12,12-Dec,,1/13/13,,13-Jan,,3/4/13,,,,1/0/00
50,19,22,12/19/11,2/22/12,2/29/12,,,,,,,3/4/13,,,,1/0/00
51,26,21,1/20/12,2/23/12,2/23/12,13-Mar,,1/24/13,1/30/13,,,,,,,1/0/00
52,39,24,5/15/12,6/22/12,6/22/12,9/28/12,9/28/12,12-Sep,12-Sep, , ,11/12/12,,12/1/12,12/2/12,12/1/12
53,29,23,2/24/12,4/9/12,4/9/12,,12-May, ,12-May,13-Jan, ,,,,1/1/13,1/1/13
54,29,22,4/30/12,6/6/12,6/6/12,,12-Jun, ,12-Jun,13-Jan, ,,,,1/1/13,1/1/13
55,29,180,7/11/12,8/13/12,8/13/12,,12-Sep, ,12-Sep,13-Jan, ,,,,1/1/13,1/1/13